%Autor: Josu Barrutia, Facultad de Informática, UPV-EHU
%El siguiente dataset fue extraído de la API de https://www.worldweatheronline.com/weather-api/api/ en base a un proyecto de Minería de Datos
%
%Recoge los datos meteorológicos del año 2022 en Donosti, cada instancia está separada de la siguiente por tres horas
%
%Total de instancias: 2760
%Total de atributos: 13
%
%Variables predictoras:
% 1.tepmC temperatura en grados centígrados
% 2.windspeedKmph velocidad del viento en km/h
% 3.precip variable clase que indica si llueve (1) o no (0)
% 4.humidity humedad en %
% 5.visibility visibilidad en km
% 6.pressure presión en mb
% 7.cloudcover nubosidad en %
% 8.HeatIndexC índice de calor en grados centígrados
% 9.DewPointC punto de rocío en grados centígrados
% 10.WindChillC pérdida de calor que produce en el cuerpo una masa de aire frío en movimiento
% 11.WindGustKmph ráfagas de viento en km/h
% 12.FeelsLikeC sensación térmica en grados centígrados
% 13.uvIndex índice de radiación ultravioleta
%
%
%Si elegimos la variable precip como clase, podemos realizar una clasificación binaria para predecir si un día lloverá o no
%Un 75% de las instancias pertenecen a la clase 0 (no llueve) y un 25% a la clase 1 (llueve)
%
%
%
%
tempC,windspeedKmph,precip,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC,uvIndex
10,17,0,67,10,1024,0,10,4,7,36,7,1
10,17,0,67,10,1024,3,10,4,8,36,8,1
10,16,0,67,10,1024,100,10,4,7,33,7,2
10,14,0,67,10,1025,16,10,4,8,30,8,3
17,10,0,61,10,1025,16,17,10,17,19,17,5
20,10,0,60,10,1023,8,20,12,20,15,20,6
15,14,0,69,10,1024,5,15,9,14,29,14,1
12,15,0,65,10,1024,7,12,5,10,32,10,1
11,15,0,63,10,1025,9,11,5,9,32,9,1
11,12,0,64,10,1025,8,11,5,10,24,10,1
11,10,0,64,10,1026,46,11,5,10,21,10,4
11,5,0,66,10,1027,53,11,5,11,10,11,4
16,4,0,60,10,1028,13,16,9,16,5,16,5
16,5,0,63,10,1028,24,16,9,16,8,16,5
12,5,0,74,10,1029,43,12,7,11,10,11,1
10,5,0,78,10,1029,18,10,7,10,11,10,1
10,6,0,79,10,1028,9,10,7,9,14,9,1
10,6,0,79,10,1027,11,10,6,9,13,9,1
10,6,0,82,10,1025,9,10,7,9,13,9,4
10,6,0,82,10,1025,12,10,8,10,13,10,4
16,6,0,71,10,1025,6,16,11,16,8,16,5
19,6,0,63,10,1022,3,19,11,19,8,19,5
13,8,0,79,10,1021,4,13,9,12,16,12,1
